"","idPlayerNBA","namePlayer","yearSeason","yearSeasonFirst","yearsPlayed","maxYrsPlayed","groupPosition","AllNBA10yr","agePlayer","slugTeamBREF","countGames","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","countTeamsPlayerSeason","countGamesStarted","pctFG","pctFG3","pctFG2","pctEFG","pctFT","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals","countTeamsPlayerSeasonTotals","minpergame"
"1",386,"Elliot Perry",1992,1992,0,10,"G",0,22,"TOT",50,437,8.6,0.428,0.054,0.318,0.034,0.063,0.048,0.226,0.037,0.4,0.254,0.184,-0.8,0.4,-0.4,-0.046,-5.3,-0.4,-5.7,-0.4,1,0,0.38,0.143,0.393,0.384,0.659,437,49,129,1,7,48,122,27,41,14,25,39,78,34,3,50,36,126,1,8.74
"2",76016,"Mark Aguirre",1982,1982,0,12,"F",0,22,"DAL",51,1468,17.3,0.514,0.087,0.301,0.067,0.129,0.097,0.186,0.012,0.9,0.127,0.298,1,0.8,1.9,0.061,1.8,-1.7,0.1,0.8,1,20,0.465,0.352,0.475,0.48,0.68,1468,381,820,25,71,356,749,168,247,89,160,249,164,37,22,135,152,955,1,28.7843137254902
"3",78392,"Wes Unseld",1969,1969,0,12,"C",1,22,"BAL",82,2970,18.1,0.515,0,0.511,0,0,0,0.088,0,0,0,0,3.8,7,10.8,0.175,0,0,0,0,1,0,0.476,0,0.476,0.476,0.605,2970,427,897,0,0,427,897,277,458,0,0,1491,213,0,0,0,276,1131,1,36.219512195122
"4",688,"Michael Curry",1994,1994,0,11,"G",0,25,"PHI",10,43,-3.9,0.286,0.143,0.286,0,0.026,0.013,0.033,0.012,0,0.16,0.19,-0.2,0,-0.2,-0.217,-11.2,-4.2,-15.5,-0.1,1,0,0.214,0,0.25,0.214,0.75,43,3,14,0,2,3,12,3,4,0,1,1,1,1,0,3,6,9,1,4.3
"5",2744,"Al Jefferson",2005,2005,0,13,"F",1,20,"BOS",71,1051,16.6,0.554,0.008,0.366,0.135,0.21,0.173,0.039,0.011,0.039,0.133,0.212,1.3,1.4,2.7,0.123,-1.7,-0.9,-2.7,-0.2,1,1,0.528,0,0.533,0.528,0.63,1051,195,369,0,3,195,366,85,135,119,193,312,24,22,55,66,195,475,1,14.8028169014085
"6",328,"Rick Mahorn",1981,1981,0,18,"F",0,22,"WSB",52,696,13.6,0.526,0,0.183,0.1,0.225,0.162,0.049,0.014,0.034,0.138,0.158,0.4,1.3,1.8,0.123,-2.4,2.4,0,0.4,1,0,0.507,0,0.507,0.507,0.675,696,111,219,0,0,111,219,27,40,67,148,215,25,21,44,38,134,249,1,13.3846153846154
"7",978,"Peja Stojakovic",1999,1999,0,12,"F",1,21,"SAC",48,1025,13.5,0.496,0.477,0.198,0.044,0.102,0.074,0.108,0.02,0.4,0.116,0.191,1,0.7,1.7,0.081,0.2,-1.2,-1,0.2,1,1,0.378,0.32,0.431,0.454,0.851,1025,141,373,57,178,84,195,63,74,43,100,143,72,41,7,53,43,402,1,21.3541666666667
"8",77376,"Lafayette Lever",1983,1983,0,11,"G",0,22,"POR",81,2020,14.8,0.477,0.025,0.268,0.047,0.078,0.062,0.282,0.036,0.4,0.171,0.161,1.7,2.6,4.4,0.104,0.3,1,1.2,1.7,1,45,0.431,0.333,0.434,0.435,0.73,2020,256,594,5,15,251,579,116,159,85,140,225,426,153,15,137,179,633,1,24.9382716049383
"9",202,"Gary Grant",1989,1989,0,12,"G",0,23,"LAC",71,1924,14.1,0.469,0.027,0.195,0.045,0.088,0.066,0.376,0.034,0.3,0.223,0.238,-2,1.6,-0.4,-0.009,-1.4,-0.6,-2.1,0,1,48,0.435,0.227,0.441,0.438,0.735,1924,361,830,5,22,356,808,119,162,80,158,238,506,144,9,258,170,846,1,27.0985915492958
"10",77707,"Chuck Nevitt",1983,1983,0,11,"C",0,23,"HOU",6,64,14.8,0.686,0,0.267,0.094,0.196,0.142,0,0.7,0.104,0.295,0.148,0,0.1,0.1,0.057,-5.9,1,-4.9,0,1,0,0.733,0,0.733,0.733,0.25,64,11,15,0,0,11,15,1,4,6,11,17,0,1,12,7,14,23,1,10.6666666666667
