"","idPlayerNBA","namePlayer","yearSeason","yearSeasonFirst","yearsPlayed","maxYrsPlayed","groupPosition","AllNBA10yr","agePlayer","slugTeamBREF","countGames","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","countTeamsPlayerSeason","countGamesStarted","pctFG","pctFG3","pctFG2","pctEFG","pctFT","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals","countTeamsPlayerSeasonTotals","minpergame"
"11",76826,"Mike Gminski",1981,1981,0,13,"C",0,21,"NJN",56,1579,14.5,0.474,0.001,0.294,0.096,0.206,0.15,0.066,0.016,0.036,0.141,0.227,-0.5,2,1.5,0.045,-3,0.7,-2.3,-0.1,1,0,0.423,0,0.424,0.423,0.767,1579,291,688,0,1,291,687,155,202,137,282,419,72,54,100,128,127,737,1,28.1964285714286
"12",185,"Chris Webber",1994,1994,0,14,"C",1,20,"GSW",76,2438,21.7,0.559,0.014,0.342,0.138,0.17,0.154,0.171,0.018,0.041,0.147,0.237,4.6,3.2,7.8,0.154,2.9,2.4,5.3,4.5,1,76,0.552,0,0.559,0.552,0.532,2438,572,1037,0,14,572,1023,189,355,305,389,694,272,93,164,206,247,1333,1,32.0789473684211
"13",200771,"Sergio Rodriguez",2007,2007,0,10,"G",0,20,"POR",67,862,14.1,0.493,0.356,0.109,0.028,0.104,0.066,0.419,0.022,0.2,0.235,0.178,0.5,0.4,0.9,0.05,-0.3,-2.6,-2.8,-0.2,1,1,0.423,0.282,0.5,0.473,0.808,862,101,239,24,85,77,154,21,26,20,71,91,218,35,2,77,72,247,1,12.865671641791
"14",76545,"Dave DeBusschere",1963,1963,0,11,"F",1,22,"DET",80,2352,14.5,0.476,0,0.304,0,0,0,0,0,0,0,0,1.3,2.3,3.6,0.074,0,0,0,0,1,0,0.43,0,0.43,0.43,0.718,2352,406,944,0,0,406,944,206,287,0,0,694,207,0,0,0,247,1018,1,29.4
"15",1889,"Andre Miller",2000,2000,0,16,"G",0,23,"CLE",82,2093,17.9,0.517,0.065,0.387,0.045,0.105,0.075,0.387,0.02,0.6,0.158,0.218,3.5,1.8,5.3,0.122,1.8,-0.7,1,1.6,1,36,0.449,0.204,0.466,0.456,0.774,2093,339,755,10,49,329,706,226,292,85,195,280,476,84,17,166,194,914,1,25.5243902439024
"16",2250,"Bobby Simmons",2002,2002,0,10,"F",0,21,"WAS",30,343,13.2,0.518,0.147,0.316,0.084,0.093,0.088,0.08,0.021,0.011,0.115,0.164,0.4,0.2,0.7,0.092,-0.4,-0.6,-0.9,0.1,1,3,0.453,0.286,0.481,0.474,0.733,343,43,95,4,14,39,81,22,30,25,27,52,17,13,5,14,31,112,1,11.4333333333333
"17",2586,"Keith Bogans",2004,2004,0,10,"F",0,23,"ORL",73,1787,11,0.499,0.412,0.227,0.066,0.137,0.101,0.087,0.014,0.4,0.131,0.145,1.3,0,1.3,0.034,-0.3,-1.7,-1.9,0,1,36,0.403,0.358,0.434,0.477,0.631,1787,183,454,67,187,116,267,65,103,106,211,317,98,46,10,75,128,498,1,24.4794520547945
"18",78126,"Bill Sharman",1951,1951,0,10,"G",1,24,"WSC",31,0,0,0.441,0,0.283,0,0,0,0,0,0,0,0,1.3,0.5,1.8,0,0,0,0,0,1,0,0.37,0,0.37,0.37,0.889,0,141,381,0,0,141,381,96,108,0,0,110,39,0,0,0,86,378,1,0
"19",78485,"Bob Weiss",1966,1966,0,11,"G",0,23,"PHI",7,30,3.5,0.333,0,0,0,0,0,0.157,0,0,0,0,-0.1,0,0,-0.01,0,0,0,0,1,0,0.333,0,0.333,0.333,0,30,3,9,0,0,3,9,0,0,0,0,7,4,0,0,0,10,6,1,4.28571428571429
"20",2215,"Jason Collins",2002,2002,0,12,"C",0,23,"NJN",77,1407,10.7,0.5,0.007,0.59,0.105,0.136,0.12,0.084,0.011,0.024,0.171,0.135,1,2,3,0.104,-2.5,1.6,-0.9,0.4,1,9,0.421,0.5,0.42,0.423,0.701,1407,117,278,1,2,116,276,115,164,132,169,301,81,29,47,72,173,350,1,18.2727272727273
"21",78173,"Jerry Sloan",1966,1966,0,10,"G",0,23,"BAL",59,952,11.1,0.483,0,0.481,0,0,0,0.143,0,0,0,0,0.7,0.7,1.4,0.072,0,0,0,0,1,0,0.415,0,0.415,0.415,0.705,952,120,289,0,0,120,289,98,139,0,0,230,110,0,0,0,176,338,1,16.135593220339
"22",2427,"Roger Mason Jr.",2003,2003,0,11,"F",0,22,"CHI",17,113,7.4,0.471,0.581,0.065,0.02,0.096,0.059,0.163,0.018,0,0.136,0.145,0,0.1,0.1,0.038,-1.6,-2.3,-3.8,-0.1,1,0,0.355,0.333,0.385,0.452,0.01,113,11,31,6,18,5,13,2,2,2,10,12,12,4,0,5,20,30,1,6.64705882352941
"23",52,"Micheal Williams",1989,1989,0,10,"G",0,22,"DET",49,358,7.7,0.424,0.07,0.364,0.03,0.054,0.043,0.27,0.018,0.5,0.219,0.229,-0.6,0.4,-0.2,-0.029,-4.9,-1.5,-6.4,-0.4,1,0,0.364,0.222,0.375,0.372,0.66,358,47,129,2,9,45,120,31,47,9,18,27,70,13,3,42,44,127,1,7.30612244897959
"24",236,"Kevin Edwards",1989,1989,0,12,"G",0,23,"MIA",79,2349,12.6,0.46,0.033,0.175,0.039,0.088,0.063,0.243,0.029,0.7,0.171,0.248,-2.3,2.2,-0.2,-0.003,-2.1,0,-2.1,-0.1,1,62,0.425,0.27,0.431,0.43,0.746,2349,470,1105,10,37,460,1068,144,193,85,177,262,349,139,27,246,154,1094,1,29.7341772151899
"25",76531,"Mike Davis",1970,1970,0,13,"G",0,23,"BAL",56,1330,12,0.499,0,0.328,0,0,0,0.106,0,0,0,0,1,1.2,2.2,0.079,0,0,0,0,1,0,0.444,0,0.444,0.444,0.776,1330,260,586,0,0,260,586,149,192,0,0,128,111,0,0,0,174,669,1,23.75
"26",1517,"Bobby Jackson",1998,1998,0,11,"G",0,24,"DEN",68,2042,13.6,0.453,0.102,0.231,0.044,0.133,0.087,0.295,0.028,0.4,0.174,0.235,-1.3,0.7,-0.6,-0.014,-1.2,-1,-2.2,-0.1,1,53,0.392,0.259,0.407,0.405,0.814,2042,310,791,21,81,289,710,149,183,78,224,302,317,105,11,184,160,790,1,30.0294117647059
"27",2757,"Beno Udrih",2005,2005,0,12,"G",0,22,"SAS",80,1149,14.3,0.549,0.364,0.228,0.016,0.068,0.042,0.222,0.019,0.6,0.152,0.205,1.3,1.8,3.1,0.128,0.1,-0.9,-0.7,0.4,1,2,0.444,0.408,0.464,0.518,0.753,1149,173,390,58,142,115,248,67,89,16,67,83,150,41,10,77,96,471,1,14.3625
"28",201160,"Jason Smith",2008,2008,0,10,"F",0,21,"PHI",76,1107,10.7,0.491,0.045,0.265,0.082,0.166,0.123,0.028,0.011,0.036,0.122,0.161,0.2,1.4,1.5,0.067,-4,0.2,-3.8,-0.5,1,1,0.455,0.286,0.463,0.461,0.659,1107,141,310,4,14,137,296,54,82,77,153,230,20,22,50,48,142,340,1,14.5657894736842
"29",78215,"Ricky Sobers",1976,1976,0,10,"G",0,23,"PHO",78,1898,13.1,0.507,0,0.308,0.046,0.101,0.074,0.159,0.025,0.2,0,0,0.9,1.9,2.8,0.072,-0.8,-0.1,-0.9,0.5,1,0,0.449,0,0.449,0.449,0.823,1898,280,623,0,0,280,623,158,192,80,179,259,215,106,7,0,253,718,1,24.3333333333333
"30",84,"Latrell Sprewell",1993,1993,0,12,"G",1,22,"GSW",77,2741,13.6,0.541,0.205,0.292,0.032,0.078,0.055,0.152,0.022,0.012,0.157,0.193,2.2,1.8,4,0.07,0.4,0.1,0.5,1.7,1,69,0.464,0.369,0.488,0.502,0.746,2741,449,968,73,198,376,770,211,283,79,192,271,295,126,52,203,166,1182,1,35.5974025974026
"31",77685,"Larry Nance",1982,1982,0,12,"F",0,22,"PHO",80,1186,14.7,0.543,0.002,0.268,0.091,0.147,0.119,0.1,0.017,0.034,0.176,0.206,0.3,2.1,2.4,0.098,-1.9,1.5,-0.5,0.5,1,0,0.521,0,0.522,0.521,0.641,1186,227,436,0,1,227,435,75,117,95,161,256,82,42,71,104,169,529,1,14.825
"32",920,"A.C. Green",1986,1986,0,15,"F",0,22,"LAL",82,1542,11.8,0.564,0.015,0.43,0.124,0.155,0.14,0.042,0.015,0.017,0.177,0.147,1.4,2,3.3,0.103,-0.5,0.8,0.3,0.9,1,1,0.539,0.167,0.545,0.54,0.611,1542,209,388,1,6,208,382,102,167,160,221,381,54,49,49,99,229,521,1,18.8048780487805
"33",275,"Allan Houston",1994,1994,0,11,"G",0,22,"DET",79,1519,9,0.465,0.174,0.161,0.014,0.075,0.044,0.105,0.011,0.6,0.121,0.236,-1.3,0.1,-1.2,-0.038,-3.7,-3.1,-6.8,-1.9,1,20,0.405,0.299,0.428,0.431,0.824,1519,272,671,35,117,237,554,89,108,19,101,120,100,34,13,99,165,668,1,19.2278481012658
"34",894,"Ricky Pierce",1983,1983,0,15,"G",0,23,"DET",39,265,5.8,0.416,0.08,0.364,0.058,0.08,0.069,0.067,0.014,0.8,0.15,0.175,-0.3,0.2,-0.1,-0.02,-4.8,-2.1,-6.9,-0.3,1,1,0.375,0.143,0.395,0.381,0.563,265,33,88,1,7,32,81,18,32,15,20,35,14,8,4,18,42,85,1,6.79487179487179
"35",1630,"Mikki Moore",1999,1999,0,13,"C",0,23,"DET",2,6,35.7,0.01064,0,0.02,0,0.205,0.102,0,0,0,0,0.149,0.1,0,0.1,0.527,6.6,-6.5,0.1,0,1,0,0.01,0,0.01,0.01,0.01,6,1,1,0,0,1,1,2,2,0,1,1,0,0,0,0,0,4,1,3
"36",117,"Jeff Malone",1984,1984,0,12,"G",0,22,"WSB",81,1976,11.3,0.494,0.081,0.187,0.034,0.058,0.046,0.121,0.6,0.4,0.1,0.238,0.2,1.1,1.3,0.032,-2,-2.7,-4.7,-1.3,1,2,0.444,0.324,0.455,0.458,0.826,1976,408,918,24,74,384,844,142,172,57,98,155,151,23,13,110,162,982,1,24.3950617283951
"37",441,"Lamond Murray",1995,1995,0,11,"F",0,21,"LAC",81,2556,11.6,0.472,0.199,0.242,0.057,0.109,0.081,0.087,0.014,0.016,0.119,0.234,-1.4,1.1,-0.3,-0.006,-2.4,-1.3,-3.8,-1.1,1,61,0.402,0.298,0.427,0.431,0.754,2556,439,1093,65,218,374,875,199,264,132,222,354,133,72,55,163,180,1142,1,31.5555555555556
"38",175,"Alton Lister",1982,1982,0,16,"C",0,23,"MIL",80,1186,11.5,0.531,0,0.429,0.109,0.26,0.187,0.092,0.7,0.058,0.274,0.163,-0.9,2.6,1.7,0.071,-4.4,3.6,-0.8,0.4,1,23,0.519,0,0.519,0.519,0.52,1186,149,287,0,0,149,287,64,123,108,279,387,84,18,118,129,239,362,1,14.825
"39",38,"Brad Lohaus",1988,1988,0,10,"F",0,23,"BOS",70,718,12.2,0.543,0.053,0.252,0.081,0.142,0.114,0.092,0.014,0.033,0.178,0.199,0.2,0.8,0.9,0.063,-2.1,0.2,-2,0,1,4,0.496,0.231,0.511,0.502,0.806,718,122,246,3,13,119,233,50,62,46,92,138,49,20,41,59,123,297,1,10.2571428571429
"40",200751,"Randy Foye",2007,2007,0,10,"G",0,23,"MIN",82,1879,14,0.536,0.268,0.278,0.032,0.105,0.069,0.209,0.015,0.9,0.164,0.229,1,1.3,2.3,0.058,-0.3,-1.3,-1.6,0.2,1,12,0.434,0.368,0.458,0.483,0.854,1879,300,691,68,185,232,506,164,192,49,169,218,232,53,21,152,184,832,1,22.9146341463415
"41",76598,"John Drew",1975,1975,0,10,"F",0,20,"ATL",78,2289,21.4,0.491,0,0.442,0.144,0.217,0.178,0.095,0.023,0.9,0,0,4.2,3,7.1,0.149,3.4,-0.7,2.7,2.7,1,0,0.428,0,0.428,0.428,0.713,2289,527,1230,0,0,527,1230,388,544,357,479,836,138,119,39,0,274,1442,1,29.3461538461538
"42",902,"Bimbo Coles",1991,1991,0,13,"G",0,22,"MIA",82,1355,10.4,0.461,0.087,0.242,0.045,0.081,0.063,0.241,0.023,0.5,0.184,0.16,-0.1,1.2,1.1,0.038,-2.6,-0.3,-3,-0.3,1,9,0.412,0.176,0.435,0.42,0.747,1355,162,393,6,34,156,359,71,95,56,97,153,232,65,12,98,149,401,1,16.5243902439024
"43",123,"Robert Pack",1992,1992,0,12,"G",0,22,"POR",72,894,10.5,0.506,0.037,0.467,0.039,0.079,0.059,0.21,0.022,0.3,0.219,0.191,0,1.1,1.1,0.058,-3.1,-0.3,-3.4,-0.3,1,0,0.423,0,0.439,0.423,0.803,894,115,272,0,10,115,262,102,127,32,65,97,140,40,4,92,101,332,1,12.4166666666667
"44",926,"Alvin Robertson",1985,1985,0,11,"G",1,22,"SAS",79,1685,15.3,0.538,0.018,0.282,0.08,0.097,0.089,0.215,0.035,0.8,0.198,0.2,1.1,2,3.1,0.087,0.7,1.3,2,1.7,1,9,0.498,0.364,0.501,0.502,0.734,1685,299,600,4,11,295,589,124,169,116,149,265,275,127,24,167,217,726,1,21.3291139240506
"45",78331,"Mychal Thompson",1979,1979,0,12,"C",0,24,"POR",73,2144,17,0.508,0,0.287,0.101,0.213,0.157,0.121,0.015,0.035,0.163,0.232,1.2,3.2,4.4,0.098,-0.4,1.5,1.1,1.7,1,0,0.49,0,0.49,0.49,0.572,2144,460,938,0,0,460,938,154,269,198,406,604,176,67,134,205,270,1074,1,29.3698630136986
"46",693,"Joe Smith",1996,1996,0,15,"F",0,20,"GSW",82,2821,17.2,0.523,0.027,0.383,0.121,0.172,0.146,0.046,0.015,0.034,0.103,0.206,4.1,2.7,6.8,0.116,-0.5,0.3,-0.2,1.3,1,82,0.458,0.357,0.461,0.463,0.773,2821,469,1024,10,28,459,996,303,392,300,417,717,79,85,134,138,224,1251,1,34.4024390243902
"47",468,"Jon Barry",1993,1993,0,13,"G",0,23,"MIL",47,552,9.6,0.453,0.306,0.238,0.021,0.07,0.045,0.178,0.032,0.4,0.156,0.209,-0.5,0.4,-0.1,-0.011,-3.2,-1.8,-4.9,-0.4,1,0,0.369,0.333,0.385,0.42,0.673,552,76,206,21,63,55,143,33,49,10,33,43,68,35,3,42,57,206,1,11.7446808510638
"48",273,"Duane Ferrell",1989,1989,0,10,"F",0,23,"ATL",41,231,12,0.488,0,0.53,0.088,0.105,0.097,0.061,0.015,0.016,0.105,0.201,0.2,0.2,0.4,0.082,-2.2,-1.5,-3.7,-0.1,1,0,0.422,0,0.422,0.422,0.682,231,35,83,0,0,35,83,30,44,19,22,41,10,7,6,12,33,100,1,5.63414634146341
"49",1510,"Brevin Knight",1998,1998,0,11,"G",0,22,"CLE",80,2483,17.1,0.515,0.012,0.424,0.034,0.091,0.063,0.437,0.042,0.6,0.216,0.167,3.5,4.9,8.4,0.163,0.7,1.6,2.3,2.7,1,76,0.441,0,0.446,0.441,0.801,2483,261,592,0,7,261,585,201,251,67,186,253,656,196,18,194,271,723,1,31.0375
"50",1737,"Nazr Mohammed",1999,1999,0,17,"C",0,21,"PHI",26,121,10,0.41,0,0.5,0.17,0.186,0.178,0.03,0.022,0.026,0.19,0.237,-0.2,0.2,0,0.013,-6,-1.5,-7.5,-0.2,1,0,0.357,0,0.357,0.357,0.571,121,15,42,0,0,15,42,12,21,18,19,37,2,5,4,12,22,42,1,4.65384615384615
"51",201143,"Al Horford",2008,2008,0,10,"C",1,21,"ATL",81,2540,14.7,0.539,0.007,0.317,0.114,0.245,0.18,0.079,0.012,0.022,0.153,0.16,2.4,3,5.5,0.103,-1.3,1.1,-0.2,1.2,1,77,0.499,0,0.502,0.499,0.731,2540,333,668,0,5,333,663,155,212,248,537,785,124,60,76,137,267,821,1,31.358024691358
"52",77149,"George Johnson",1973,1973,0,13,"C",0,24,"GSW",56,349,10.1,0.414,0,0.17,0,0,0.18,0.028,0,0,0,0,-0.3,0.6,0.3,0.044,0,0,0,0,1,0,0.41,0,0.41,0.41,0.412,349,41,100,0,0,41,100,7,17,0,0,138,8,0,0,0,40,89,1,6.23214285714286
"53",201148,"Brandan Wright",2008,2008,0,10,"F",0,20,"GSW",38,376,17.2,0.583,0,0.357,0.104,0.181,0.141,0.034,0.8,0.043,0.091,0.16,0.8,0.3,1.1,0.142,-1.8,-0.6,-2.4,0,1,6,0.554,0,0.554,0.554,0.675,376,62,112,0,0,62,112,27,40,38,61,99,9,6,22,13,36,151,1,9.89473684210526
"54",600009,"Rory Sparrow",1981,1981,0,11,"G",0,22,"NJN",15,212,8.2,0.4,0,0.254,0.036,0.06,0.048,0.195,0.028,0.8,0.204,0.164,-0.3,0.2,-0.1,-0.023,-4.7,-0.4,-5.2,-0.2,1,0,0.349,0,0.349,0.349,0.75,212,22,63,0,0,22,63,12,16,7,11,18,32,13,3,18,15,56,1,14.1333333333333
"55",2207,"Joe Johnson",2002,2002,0,16,"G",1,20,"TOT",77,1916,11.8,0.478,0.223,0.091,0.043,0.108,0.075,0.15,0.016,0.8,0.105,0.16,1.1,1.9,3,0.075,-1.4,0.3,-1.1,0.4,1,60,0.43,0.292,0.469,0.462,0.774,1916,251,584,38,130,213,454,41,53,75,182,257,179,59,20,71,114,581,1,24.8831168831169
"56",2564,"Boris Diaw",2004,2004,0,13,"G",0,21,"ATL",76,1919,8.8,0.483,0.083,0.297,0.066,0.135,0.101,0.149,0.016,0.014,0.263,0.114,-0.3,1.1,0.8,0.021,-2.6,1,-1.6,0.2,1,37,0.447,0.231,0.467,0.457,0.602,1919,140,313,6,26,134,287,56,93,111,231,342,182,59,37,126,191,342,1,25.25
"57",78151,"Paul Silas",1965,1965,0,15,"F",0,21,"STL",79,1243,12.3,0.406,0,0.437,0,0,0,0.052,0,0,0,0,-0.9,2.1,1.2,0.046,0,0,0,0,1,0,0.373,0,0.373,0.373,0.506,1243,140,375,0,0,140,375,83,164,0,0,576,48,0,0,0,161,363,1,15.7341772151899
"58",905,"Dale Davis",1992,1992,0,15,"F",0,22,"IND",64,1301,13.3,0.571,0.004,0.545,0.142,0.203,0.174,0.03,0.01,0.034,0.124,0.127,1.9,1.5,3.4,0.126,-1.1,0.3,-0.8,0.4,1,23,0.552,0,0.554,0.552,0.572,1301,154,279,0,1,154,278,87,152,158,252,410,30,27,74,49,191,395,1,20.328125
"59",77879,"Paul Pressey",1983,1983,0,10,"G",0,24,"MIL",79,1528,12.8,0.489,0.019,0.378,0.063,0.136,0.101,0.183,0.031,0.017,0.23,0.191,-0.9,2.8,2,0.062,-2.1,2.8,0.7,1,1,18,0.457,0.111,0.464,0.458,0.597,1528,213,466,1,9,212,457,105,176,83,198,281,207,99,47,162,174,532,1,19.3417721518987
"60",2200,"Pau Gasol",2002,2002,0,16,"C",1,21,"MEM",82,3007,19.5,0.566,0.005,0.448,0.088,0.182,0.135,0.138,0.7,0.039,0.15,0.226,4.8,2.8,7.6,0.121,0.7,1.5,2.2,3.2,1,79,0.518,0.2,0.519,0.518,0.709,3007,551,1064,1,5,550,1059,338,477,238,492,730,223,41,169,224,195,1441,1,36.6707317073171
"61",2038,"Joel Przybilla",2001,2001,0,12,"C",0,21,"MIL",33,270,5.9,0.339,0,0.314,0.123,0.175,0.149,0.01,0.6,0.082,0.246,0.089,-0.2,0.3,0.1,0.018,-6.4,2.5,-3.9,-0.1,1,13,0.343,0,0.343,0.343,0.273,270,12,35,0,0,12,35,3,11,29,42,71,2,3,30,13,56,27,1,8.18181818181818
"62",78060,"Tom Sanders",1961,1961,0,12,"F",0,22,"BOS",68,1084,11.7,0.458,0,0.284,0,0,0,0,0,0,0,0,0.5,2.5,3,0.132,0,0,0,0,1,0,0.42,0,0.42,0.42,0.67,1084,148,352,0,0,148,352,67,100,0,0,385,44,0,0,0,131,363,1,15.9411764705882
"63",305,"Robert Parish",1977,1977,0,20,"C",1,23,"GSW",77,1384,19.3,0.538,0,0.298,0.146,0.251,0.198,0.073,0.018,0.035,0,0,2.5,2.3,4.8,0.167,0.9,0.6,1.5,1.2,1,0,0.503,0,0.503,0.503,0.708,1384,288,573,0,0,288,573,121,171,201,342,543,74,55,94,0,224,697,1,17.974025974026
"64",78482,"Scott Wedman",1975,1975,0,12,"F",0,22,"KCO",80,2554,12,0.505,0,0.211,0.082,0.117,0.1,0.074,0.015,0.6,0,0,2.5,2.3,4.8,0.091,-1.1,0.2,-0.8,0.8,1,0,0.465,0,0.465,0.465,0.818,2554,375,806,0,0,375,806,139,170,202,288,490,129,81,27,0,270,889,1,31.925
"65",456,"Chuck Person",1987,1987,0,13,"F",0,22,"IND",82,2956,15.6,0.518,0.102,0.219,0.061,0.192,0.125,0.153,0.015,0.3,0.124,0.24,1.5,3.9,5.4,0.088,0.5,0.6,1.1,2.3,1,78,0.468,0.355,0.48,0.486,0.747,2956,635,1358,49,138,586,1220,222,297,168,509,677,295,90,16,211,310,1541,1,36.0487804878049
"66",348,"Mitchell Butler",1994,1994,0,10,"G",0,23,"WSB",75,1321,13,0.521,0.012,0.431,0.092,0.107,0.1,0.089,0.02,0.9,0.149,0.19,0.7,0.4,1.1,0.04,-1.2,-1.3,-2.5,-0.2,1,19,0.495,0,0.501,0.495,0.578,1321,207,418,0,5,207,413,104,180,106,119,225,77,54,20,87,131,518,1,17.6133333333333
"67",101138,"Brandon Bass",2006,2006,0,11,"F",0,20,"NOK",29,268,9.1,0.434,0,0.271,0.078,0.228,0.151,0.018,0.6,0.022,0.123,0.156,-0.2,0.3,0.1,0.013,-6.6,-1.5,-8.2,-0.4,1,1,0.4,0,0.4,0.4,0.632,268,28,70,0,0,28,70,12,19,18,50,68,3,3,7,11,18,68,1,9.24137931034483
"68",76166,"Dave Bing",1967,1967,0,11,"G",1,23,"DET",80,2762,16.5,0.475,0,0.243,0,0,0,0.181,0,0,0,0,2,3.2,5.3,0.092,0,0,0,0,1,0,0.436,0,0.436,0.436,0.738,2762,664,1522,0,0,664,1522,273,370,0,0,359,330,0,0,0,217,1601,1,34.525
"69",1513,"Scot Pollard",1998,1998,0,10,"C",0,22,"DET",33,317,13.3,0.555,0,0.329,0.127,0.151,0.139,0.047,0.014,0.024,0.13,0.135,0.5,0.4,0.9,0.141,-1.1,0.3,-0.8,0.1,1,0,0.5,0,0.5,0.5,0.826,317,35,70,0,0,35,70,19,23,34,40,74,9,8,10,12,48,89,1,9.60606060606061
"70",915,"Rodney Rogers",1994,1994,0,11,"F",0,22,"DEN",79,1406,12.9,0.509,0.169,0.347,0.074,0.104,0.089,0.114,0.022,0.021,0.173,0.23,-0.1,2.1,2,0.067,-1.4,0.5,-0.9,0.4,1,14,0.439,0.38,0.45,0.471,0.672,1406,239,545,35,92,204,453,127,189,90,136,226,101,63,48,131,195,640,1,17.7974683544304
